route,methods,arg,required,type,enum,default,description,format,pattern
/,GET,context,False,,,view,,,
/batch/v1,POST,validation,False,string,"require-all-validate,normal",normal,,,
/batch/v1,POST,requests,True,array,,,,,
/oembed/1.0,GET,namespace,False,,,oembed/1.0,,,
/oembed/1.0,GET,context,False,,,view,,,
/oembed/1.0/embed,GET,url,True,string,,,The URL of the resource for which to fetch oEmbed data.,uri,
/oembed/1.0/embed,GET,format,False,,,json,,,
/oembed/1.0/embed,GET,maxwidth,False,,,600,,,
/oembed/1.0/proxy,GET,url,True,string,,,The URL of the resource for which to fetch oEmbed data.,uri,
/oembed/1.0/proxy,GET,format,False,string,"json,xml",json,The oEmbed format to use.,,
/oembed/1.0/proxy,GET,maxwidth,False,integer,,600,The maximum width of the embed frame in pixels.,,
/oembed/1.0/proxy,GET,maxheight,False,integer,,,The maximum height of the embed frame in pixels.,,
/oembed/1.0/proxy,GET,discover,False,boolean,,True,Whether to perform an oEmbed discovery request for unsanctioned providers.,,
/redirection/v1,GET,namespace,False,,,redirection/v1,,,
/redirection/v1,GET,context,False,,,view,,,
/redirection/v1/redirect,GET,filterBy,False,,,,Field to filter by,,
/redirection/v1/redirect,GET,orderby,False,string,"source,last_count,last_access,position,id,",,Field to order results by,,
/redirection/v1/redirect,GET,direction,False,string,"asc,desc",desc,Direction of ordered results,,
/redirection/v1/redirect,GET,per_page,False,integer,,25,Number of results per page,,
/redirection/v1/redirect,GET,page,False,integer,,0,Page offset,,
/redirection/v1/redirect,"POST,PUT,PATCH",filterBy,False,,,,Field to filter by,,
/redirection/v1/redirect,"POST,PUT,PATCH",orderby,False,string,"source,last_count,last_access,position,id,",,Field to order results by,,
/redirection/v1/redirect,"POST,PUT,PATCH",direction,False,string,"asc,desc",desc,Direction of ordered results,,
/redirection/v1/redirect,"POST,PUT,PATCH",per_page,False,integer,,25,Number of results per page,,
/redirection/v1/redirect,"POST,PUT,PATCH",page,False,integer,,0,Page offset,,
/redirection/v1/redirect/post,GET,text,True,string,,,Text to match,,
/redirection/v1/bulk/redirect/(?P<bulk>delete|enable|disable|reset),"POST,PUT,PATCH",filterBy,False,,,,Field to filter by,,
/redirection/v1/bulk/redirect/(?P<bulk>delete|enable|disable|reset),"POST,PUT,PATCH",orderby,False,string,"source,last_count,last_access,position,id,",,Field to order results by,,
/redirection/v1/bulk/redirect/(?P<bulk>delete|enable|disable|reset),"POST,PUT,PATCH",direction,False,string,"asc,desc",desc,Direction of ordered results,,
/redirection/v1/bulk/redirect/(?P<bulk>delete|enable|disable|reset),"POST,PUT,PATCH",per_page,False,integer,,25,Number of results per page,,
/redirection/v1/bulk/redirect/(?P<bulk>delete|enable|disable|reset),"POST,PUT,PATCH",page,False,integer,,0,Page offset,,
/redirection/v1/bulk/redirect/(?P<bulk>delete|enable|disable|reset),"POST,PUT,PATCH",global,False,boolean,,,"Apply bulk action globally, as per filters",,
/redirection/v1/bulk/redirect/(?P<bulk>delete|enable|disable|reset),"POST,PUT,PATCH",items,False,array,,,Array of IDs to perform action on,,
/redirection/v1/group,GET,filterBy,False,,,,Field to filter by,,
/redirection/v1/group,GET,orderby,False,string,"name,id,",,Field to order results by,,
/redirection/v1/group,GET,direction,False,string,"asc,desc",desc,Direction of ordered results,,
/redirection/v1/group,GET,per_page,False,integer,,25,Number of results per page,,
/redirection/v1/group,GET,page,False,integer,,0,Page offset,,
/redirection/v1/group,"POST,PUT,PATCH",filterBy,False,,,,Field to filter by,,
/redirection/v1/group,"POST,PUT,PATCH",orderby,False,string,"name,id,",,Field to order results by,,
/redirection/v1/group,"POST,PUT,PATCH",direction,False,string,"asc,desc",desc,Direction of ordered results,,
/redirection/v1/group,"POST,PUT,PATCH",per_page,False,integer,,25,Number of results per page,,
/redirection/v1/group,"POST,PUT,PATCH",page,False,integer,,0,Page offset,,
/redirection/v1/group,"POST,PUT,PATCH",moduleId,True,integer,,,Module ID,,
/redirection/v1/group,"POST,PUT,PATCH",name,True,string,,,Group name,,
/redirection/v1/group,"POST,PUT,PATCH",status,False,,,,Status of the group,,
/redirection/v1/group/(?P<id>[\d]+),"POST,PUT,PATCH",moduleId,True,integer,,,Module ID,,
/redirection/v1/group/(?P<id>[\d]+),"POST,PUT,PATCH",name,True,string,,,Group name,,
/redirection/v1/group/(?P<id>[\d]+),"POST,PUT,PATCH",status,False,,,,Status of the group,,
/redirection/v1/bulk/group/(?P<bulk>delete|enable|disable),"POST,PUT,PATCH",filterBy,False,,,,Field to filter by,,
/redirection/v1/bulk/group/(?P<bulk>delete|enable|disable),"POST,PUT,PATCH",orderby,False,string,"name,id,",,Field to order results by,,
/redirection/v1/bulk/group/(?P<bulk>delete|enable|disable),"POST,PUT,PATCH",direction,False,string,"asc,desc",desc,Direction of ordered results,,
/redirection/v1/bulk/group/(?P<bulk>delete|enable|disable),"POST,PUT,PATCH",per_page,False,integer,,25,Number of results per page,,
/redirection/v1/bulk/group/(?P<bulk>delete|enable|disable),"POST,PUT,PATCH",page,False,integer,,0,Page offset,,
/redirection/v1/bulk/group/(?P<bulk>delete|enable|disable),"POST,PUT,PATCH",items,False,array,,,Comma separated list of item IDs to perform action on,,
/redirection/v1/log,GET,filterBy,False,,,,Field to filter by,,
