path,namespace,methods
/,,GET
/batch/v1,,POST
/oembed/1.0,oembed/1.0,GET
/oembed/1.0/embed,oembed/1.0,GET
/oembed/1.0/proxy,oembed/1.0,GET
/redirection/v1,redirection/v1,GET
/redirection/v1/redirect,redirection/v1,GET,POST,PUT,PATCH
/redirection/v1/redirect/(?P<id>[\d]+),redirection/v1,POST,PUT,PATCH
/redirection/v1/redirect/post,redirection/v1,GET
/redirection/v1/bulk/redirect/(?P<bulk>delete|enable|disable|reset),redirection/v1,POST,PUT,PATCH
/redirection/v1/group,redirection/v1,GET,POST,PUT,PATCH
/redirection/v1/group/(?P<id>[\d]+),redirection/v1,POST,PUT,PATCH
/redirection/v1/bulk/group/(?P<bulk>delete|enable|disable),redirection/v1,POST,PUT,PATCH
/redirection/v1/log,redirection/v1,GET
/redirection/v1/bulk/log/(?P<bulk>delete),redirection/v1,POST,PUT,PATCH
/redirection/v1/404,redirection/v1,GET
/redirection/v1/bulk/404/(?P<bulk>delete),redirection/v1,POST,PUT,PATCH
/redirection/v1/setting,redirection/v1,GET,POST,PUT,PATCH
/redirection/v1/plugin,redirection/v1,GET,POST,PUT,PATCH
/redirection/v1/plugin/delete,redirection/v1,POST,PUT,PATCH
/redirection/v1/plugin/test,redirection/v1,GET,POST,PUT,PATCH,DELETE
/redirection/v1/plugin/data,redirection/v1,POST,PUT,PATCH
/redirection/v1/import/file/(?P<group_id>\d+),redirection/v1,POST,PUT,PATCH
/redirection/v1/import/plugin,redirection/v1,GET,POST,PUT,PATCH
/redirection/v1/export/(?P<module>1|2|3|all)/(?P<format>csv|apache|nginx|json),redirection/v1,GET
/sliderrevolution,sliderrevolution,GET
/sliderrevolution/sliders,sliderrevolution,GET
/sliderrevolution/sliders/(?P<slider>[\w\-]+),sliderrevolution,GET
/sliderrevolution/sliders/slides/(?P<id>\d+),sliderrevolution,GET
/sliderrevolution/sliders/stream/(?P<id>[0-9,]+),sliderrevolution,GET
/sliderrevolution/sliders/modal/(?P<slider>[\w\-]+),sliderrevolution,GET
/string-locator/v1,string-locator/v1,GET
/string-locator/v1/replace,string-locator/v1,POST
/string-locator/v1/save,string-locator/v1,POST
/string-locator/v1/clean,string-locator/v1,POST
/string-locator/v1/search,string-locator/v1,POST
/string-locator/v1/get-directory-structure,string-locator/v1,POST
/wc/v3,wc/v3,GET
